Weapon_Name,Sub_Weapon,Special_Weapon,Class,Weapon_Img,Sub_Img,Special_Img,Class_Img,Special_Points,Opening Gambit,Last-Ditch Effort,Ninja Squid,Respawn Punisher,Haunt,Tenacity,Thermal Ink,Object Shredder,Drop Roller,Stealth Jump,Comeback,Special Saver,Quick Super Jump,Sub Power Up,Ink Recovery Up,Special Charge Up,Ink Saver (Main),Intensify Action,Swim Speed Up,Ink Saver (Sub),Special Power Up,Ink Resistance Up,Quick Respawn,Sub Resistance Up,Run Speed Up,Build_Count
Bamboozler 14 Mk II,Fizzy Bomb,Super Chump,Charger,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/9/9f/S3_Weapon_Main_Bamboozler_14_Mk_II.png/256px-S3_Weapon_Main_Bamboozler_14_Mk_II.png,https://cdn.wikimg.net/en/splatoonwiki/images/c/c4/S3_Weapon_Sub_Fizzy_Bomb_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/8/8c/S3_Weapon_Special_Super_Chump.png/120px-S3_Weapon_Special_Super_Chump.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/a/a0/S3_Icon_Charger.png/120px-S3_Icon_Charger.png,200.0,0.029288702928870293,0.6401673640167364,0.04602510460251046,0.012552301255230125,0.016736401673640166,0.0,0.02092050209205021,0.06276150627615062,0.008368200836820083,0.7447698744769874,0.0794979079497908,1.6778242677824269,3.6569037656903767,0.6150627615062761,1.0418410041841004,3.3221757322175733,1.6443514644351465,0.15481171548117154,6.589958158995816,4.7615062761506275,0.6443514644351465,3.3682008368200838,0.6443514644351465,1.205020920502092,11.06276150627615,239
Big Swig Roller,Splash Wall,Ink Vac,Roller,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/8/8e/S3_Weapon_Main_Big_Swig_Roller.png/256px-S3_Weapon_Main_Big_Swig_Roller.png,https://cdn.wikimg.net/en/splatoonwiki/images/e/e8/S3_Weapon_Sub_Splash_Wall_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/cf/S3_Weapon_Special_Ink_Vac.png/120px-S3_Weapon_Special_Ink_Vac.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/f/fb/S3_Icon_Roller.png/120px-S3_Icon_Roller.png,190.0,0.018691588785046728,0.2523364485981308,0.18691588785046728,0.018691588785046728,0.018691588785046728,0.0,0.028037383177570093,0.29439252336448596,0.02336448598130841,0.411214953271028,0.16822429906542055,2.303738317757009,3.1728971962616823,0.8738317757009346,2.1728971962616823,4.873831775700935,7.817757009345795,0.5,7.420560747663552,1.9299065420560748,2.032710280373832,2.7710280373831777,3.2616822429906542,1.7149532710280373,1.9485981308411215,214
Big Swig Roller Express,Angle Shooter,Ink Storm,Roller,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/f/f7/S3_Weapon_Main_Big_Swig_Roller_Express.png/256px-S3_Weapon_Main_Big_Swig_Roller_Express.png,https://cdn.wikimg.net/en/splatoonwiki/images/3/3a/S3_Weapon_Sub_Angle_Shooter_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/6/69/S3_Weapon_Special_Ink_Storm.png/120px-S3_Weapon_Special_Ink_Storm.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/f/fb/S3_Icon_Roller.png/120px-S3_Icon_Roller.png,190.0,0.03070175438596491,0.32456140350877194,0.18421052631578946,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.021929824561403508,0.25877192982456143,0.008771929824561403,0.5307017543859649,0.18421052631578946,2.263157894736842,3.337719298245614,0.75,2.1403508771929824,6.399122807017544,7.692982456140351,0.3201754385964912,7.302631578947368,1.7719298245614035,0.868421052631579,2.5701754385964914,3.039473684210526,1.5219298245614035,1.1885964912280702,228
Blaster,Autobomb,Big Bubbler,Blaster,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/a/a7/S3_Weapon_Main_Blaster.png/256px-S3_Weapon_Main_Blaster.png,https://cdn.wikimg.net/en/splatoonwiki/images/6/6d/S3_Weapon_Sub_Autobomb_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/e/ef/S3_Weapon_Special_Big_Bubbler.png/120px-S3_Weapon_Special_Big_Bubbler.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/5/5b/S3_Icon_Blaster.png/120px-S3_Icon_Blaster.png,180.0,0.04201680672268908,0.025210084033613446,0.025210084033613446,0.0,0.025210084033613446,0.004201680672268907,0.0,0.0,0.008403361344537815,0.9117647058823529,0.7689075630252101,2.357142857142857,4.3655462184873945,0.14705882352941177,0.49159663865546216,0.6722689075630253,0.8109243697478992,4.588235294117647,5.235294117647059,0.6512605042016807,0.18067226890756302,2.802521008403361,14.743697478991596,1.5924369747899159,0.25210084033613445,238
Bloblobber,Sprinkler,Ink Storm,Slosher,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/4/41/S3_Weapon_Main_Bloblobber.png/256px-S3_Weapon_Main_Bloblobber.png,https://cdn.wikimg.net/en/splatoonwiki/images/d/de/S3_Weapon_Sub_Sprinkler_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/6/69/S3_Weapon_Special_Ink_Storm.png/120px-S3_Weapon_Special_Ink_Storm.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/2/2f/S3_Icon_Slosher.png/120px-S3_Icon_Slosher.png,190.0,0.008438818565400843,0.5147679324894515,0.016877637130801686,0.008438818565400843,0.02109704641350211,0.03375527426160337,0.38396624472573837,0.2489451476793249,0.016877637130801686,0.4050632911392405,0.09282700421940929,2.2278481012658227,3.4556962025316458,0.39662447257383965,2.0464135021097047,6.345991561181434,9.59915611814346,0.29535864978902954,5.39662447257384,0.6666666666666666,1.6455696202531647,2.523206751054852,2.19831223628692,1.350210970464135,1.3417721518987342,237
Bloblobber Deco,Angle Shooter,Kraken Royale,Slosher,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/9/93/S3_Weapon_Main_Bloblobber_Deco.png/256px-S3_Weapon_Main_Bloblobber_Deco.png,https://cdn.wikimg.net/en/splatoonwiki/images/3/3a/S3_Weapon_Sub_Angle_Shooter_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/c/c1/S3_Weapon_Special_Kraken_Royale.png/120px-S3_Weapon_Special_Kraken_Royale.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/2/2f/S3_Icon_Slosher.png/120px-S3_Icon_Slosher.png,200.0,0.015625,0.2708333333333333,0.020833333333333332,0.020833333333333332,0.005208333333333333,0.057291666666666664,0.22916666666666666,0.19270833333333334,0.015625,0.546875,0.265625,2.1302083333333335,3.7083333333333335,0.3854166666666667,1.6458333333333333,4.53125,7.114583333333333,0.28125,4.484375,1.21875,5.859375,2.6875,3.8020833333333335,1.453125,1.2916666666666667,192
Carbon Roller,Autobomb,Zipcaster,Roller,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/2/21/S3_Weapon_Main_Carbon_Roller.png/256px-S3_Weapon_Main_Carbon_Roller.png,https://cdn.wikimg.net/en/splatoonwiki/images/6/6d/S3_Weapon_Sub_Autobomb_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/9/96/S3_Weapon_Special_Zipcaster.png/120px-S3_Weapon_Special_Zipcaster.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/f/fb/S3_Icon_Roller.png/120px-S3_Icon_Roller.png,160.0,0.0211864406779661,0.07203389830508475,0.690677966101695,0.00423728813559322,0.0211864406779661,0.0,0.01694915254237288,0.0,0.2033898305084746,0.6398305084745762,0.19915254237288135,1.9618644067796611,3.7542372881355934,0.5889830508474576,0.6822033898305084,1.652542372881356,0.690677966101695,0.4279661016949153,13.266949152542374,2.7754237288135593,2.4279661016949152,2.9322033898305087,4.47457627118644,1.7796610169491525,0.8983050847457628,236
Carbon Roller Deco,Burst Bomb,Trizooka,Roller,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/7/72/S3_Weapon_Main_Carbon_Roller_Deco.png/256px-S3_Weapon_Main_Carbon_Roller_Deco.png,https://cdn.wikimg.net/en/splatoonwiki/images/3/3a/S3_Weapon_Sub_Burst_Bomb_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/9/93/S3_Weapon_Special_Trizooka.png/120px-S3_Weapon_Special_Trizooka.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/f/fb/S3_Icon_Roller.png/120px-S3_Icon_Roller.png,190.0,0.03333333333333333,0.0,0.6708333333333333,0.004166666666666667,0.004166666666666667,0.0,0.0,0.004166666666666667,0.004166666666666667,0.9541666666666667,0.17916666666666667,1.2041666666666666,6.108333333333333,0.8416666666666667,0.2625,0.31666666666666665,0.1125,0.0625,13.283333333333333,3.9208333333333334,0.05,2.716666666666667,7.05,2.4375,0.09166666666666666,240
Charcoal Decavitator,Splash Wall,Inkjet,Splatana,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/5/52/S3_Weapon_Main_Charcoal_Decavitator.png/256px-S3_Weapon_Main_Charcoal_Decavitator.png,https://cdn.wikimg.net/en/splatoonwiki/images/e/e8/S3_Weapon_Sub_Splash_Wall_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/8/80/S3_Weapon_Special_Inkjet.png/120px-S3_Weapon_Special_Inkjet.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/7/7c/S3_Icon_Splatana.png/120px-S3_Icon_Splatana.png,200.0,0.008333333333333333,0.016666666666666666,0.1375,0.0,0.029166666666666667,0.004166666666666667,0.004166666666666667,0.0,0.0625,0.9041666666666667,0.8541666666666666,2.529166666666667,3.6875,0.1125,0.5458333333333333,1.2791666666666666,2.2708333333333335,0.12916666666666668,7.525,0.5958333333333333,5.183333333333334,2.5791666666666666,9.041666666666666,1.225,0.0875,240
Clash Blaster,Splat Bomb,Trizooka,Blaster,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/2/2f/S3_Weapon_Main_Clash_Blaster.png/256px-S3_Weapon_Main_Clash_Blaster.png,https://cdn.wikimg.net/en/splatoonwiki/images/8/81/S3_Weapon_Sub_Splat_Bomb_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/9/93/S3_Weapon_Special_Trizooka.png/120px-S3_Weapon_Special_Trizooka.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/5/5b/S3_Icon_Blaster.png/120px-S3_Icon_Blaster.png,180.0,0.045871559633027525,0.19724770642201836,0.22477064220183487,0.05045871559633028,0.05045871559633028,0.022935779816513763,0.0045871559633027525,0.03669724770642202,0.06422018348623854,0.6284403669724771,0.3669724770642202,1.926605504587156,2.876146788990826,1.0321100917431192,1.311926605504587,2.188073394495413,2.408256880733945,2.688073394495413,6.807339449541284,3.1055045871559632,0.555045871559633,2.5871559633027523,8.509174311926605,1.6055045871559632,2.4724770642201834,218
Clash Blaster Neo,Curling Bomb,Super Chump,Blaster,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/1/10/S3_Weapon_Main_Clash_Blaster_Neo.png/256px-S3_Weapon_Main_Clash_Blaster_Neo.png,https://cdn.wikimg.net/en/splatoonwiki/images/1/11/S3_Weapon_Sub_Curling_Bomb_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/8/8c/S3_Weapon_Special_Super_Chump.png/120px-S3_Weapon_Special_Super_Chump.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/5/5b/S3_Icon_Blaster.png/120px-S3_Icon_Blaster.png,170.0,0.11320754716981132,0.04716981132075472,0.20754716981132076,0.02830188679245283,0.04716981132075472,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.0660377358490566,0.6981132075471698,0.33962264150943394,2.169811320754717,3.792452830188679,0.7452830188679245,0.9245283018867925,2.8207547169811322,1.320754716981132,1.5754716981132075,7.726415094339623,2.1792452830188678,0.7641509433962265,3.2264150943396226,9.047169811320755,2.160377358490566,2.792452830188679,106
Classic Squiffer,Point Sensor,Big Bubbler,Charger,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/3/3c/S3_Weapon_Main_Classic_Squiffer.png/256px-S3_Weapon_Main_Classic_Squiffer.png,https://cdn.wikimg.net/en/splatoonwiki/images/d/dd/S3_Weapon_Sub_Point_Sensor_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/e/ef/S3_Weapon_Special_Big_Bubbler.png/120px-S3_Weapon_Special_Big_Bubbler.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/a/a0/S3_Icon_Charger.png/120px-S3_Icon_Charger.png,190.0,0.04602510460251046,0.07531380753138076,0.012552301255230125,0.03765690376569038,0.08786610878661087,0.0041841004184100415,0.0,0.008368200836820083,0.058577405857740586,0.7824267782426778,0.34309623430962344,1.7447698744769875,4.397489539748954,0.6652719665271967,0.9623430962343096,3.99581589958159,3.485355648535565,0.4351464435146444,11.707112970711297,0.9205020920502092,1.0669456066945606,2.5523012552301254,4.02092050209205,2.0334728033472804,4.451882845188284,239
Custom Blaster,Point Sensor,Triple Splashdown,Blaster,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/4/44/S3_Weapon_Main_Custom_Blaster.png/256px-S3_Weapon_Main_Custom_Blaster.png,https://cdn.wikimg.net/en/splatoonwiki/images/d/dd/S3_Weapon_Sub_Point_Sensor_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/b/b3/S3_Weapon_Special_Triple_Splashdown.png/120px-S3_Weapon_Special_Triple_Splashdown.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/5/5b/S3_Icon_Blaster.png/120px-S3_Icon_Blaster.png,180.0,0.14705882352941177,0.012605042016806723,0.03361344537815126,0.0,0.02100840336134454,0.008403361344537815,0.0,0.004201680672268907,0.008403361344537815,0.8613445378151261,0.6260504201680672,2.2184873949579833,4.23109243697479,0.6848739495798319,0.7689075630252101,1.23109243697479,1.2478991596638656,5.563025210084033,5.302521008403361,0.3697478991596639,0.2857142857142857,2.5798319327731094,13.680672268907562,1.3025210084033614,0.3067226890756303,238
Custom Douser Dualies FF,Burst Bomb,Triple Inkstrike,Dualie,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/f/f6/S3_Weapon_Main_Custom_Douser_Dualies_FF.png/256px-S3_Weapon_Main_Custom_Douser_Dualies_FF.png,https://cdn.wikimg.net/en/splatoonwiki/images/3/3a/S3_Weapon_Sub_Burst_Bomb_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/3/3a/S3_Weapon_Special_Triple_Inkstrike.png/120px-S3_Weapon_Special_Triple_Inkstrike.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/b/b5/S3_Icon_Dualie.png/120px-S3_Icon_Dualie.png,200.0,0.012605042016806723,0.41596638655462187,0.008403361344537815,0.0,0.008403361344537815,0.0,0.037815126050420166,0.012605042016806723,0.008403361344537815,0.8529411764705882,0.37815126050420167,2.0714285714285716,3.2394957983193278,4.689075630252101,1.184873949579832,3.5504201680672267,3.2983193277310923,3.0798319327731094,4.542016806722689,1.1680672268907564,0.2857142857142857,2.7016806722689077,1.2521008403361344,0.7563025210084033,7.8277310924369745,238
Custom Dualie Squelchers,Squid Beakon,Super Chump,Dualie,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/9/9d/S3_Weapon_Main_Custom_Dualie_Squelchers.png/256px-S3_Weapon_Main_Custom_Dualie_Squelchers.png,https://cdn.wikimg.net/en/splatoonwiki/images/f/f1/S3_Weapon_Sub_Squid_Beakon_Flat.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/8/8c/S3_Weapon_Special_Super_Chump.png/120px-S3_Weapon_Special_Super_Chump.png,https://cdn.wikimg.net/en/splatoonwiki/images/thumb/b/b5/S3_Icon_Dualie.png/120px-S3_Icon_Dualie.png,210.0,0.02100840336134454,0.12184873949579832,0.004201680672268907,0.0,0.01680672268907563,0.008403361344537815,0.025210084033613446,0.008403361344537815,0.004201680672268907,0.8697478991596639,0.7394957983193278,1.0756302521008403,3.8403361344537816,5.176470588235294,0.6302521008403361,1.3949579831932772,4.894957983193278,4.495798319327731,5.760504201680672,0.23109243697478993,0.226890756302521,2.869747899159664,6.773109243697479,1.2016806722689075,0.23529411764705882,238
